Player,PPG,Con,Form,W,D,F1 PR P,F1 Pos D
Flamini,1.9,1,0.1,1,0,0,2
Fletcher,2.9,1,0.5,0,1,2,1
Fonte,3.9,1,0.6,1,0,2,1
Forestieri,0,1,0,0,0,0,3
Forster,5.5,1,0.6,1,0,0,1
Foster,4,1,0.6,0,1,0,1
Francis,2.6,1,0.8,0,0,2,-3
Fryers,0,1,0,1,0,0,-1
Fuchs,4.4,1,0.7,1,0,2,17
Gabriel,4.1,1,0.5,1,0,6,2
Gamboa,0,1,0,0,1,0,1
Gardner,0,1,0,0,1,0,-13
Gardos,0,1,0,1,0,0,1
Gayle,1.3,1,0,1,0,2,-1
Gazzaniga,2.5,1,0,1,0,0,1
Gestede,2.6,1,0.3,0,1,2,-13
Giaccherini,0,1,0,0,0,0,-11
Gibbs,1.8,1,0.1,1,0,1,2
Gilmartin,0,1,0,0,0,0,3
Giroud,3.9,1,0.3,1,0,1,2
Given,0,1,0,1,0,0,13
Gomes,4.3,1,0.7,0,0,9,3
Gómez,1.8,1,0,0,0,1,-11
Gomis,2.5,1,0.2,0,0,2,-14
Gooch,0,1,0,0,0,0,-11
Gosling,2.8,1,0.2,0,0,2,-3
Gradel,3.7,1,0.2,0,0,0,-3
Graham,1.5,1,0,0,0,0,-11
Grealish,2,1,0,0,1,1,-13
Grimes,3,1,0,0,0,0,-14
Guédioura,1,1,0,0,0,1,3
Gueye,2,1,0.4,0,1,2,-13
Guzan,2.4,1,0.1,0,1,3,-13
Hamer,0,1,0,1,0,0,17
Hammond,0,1,0,1,0,0,17
Hangeland,3.6,1,0,1,0,6,-1
Haugaard,0,1,0,1,0,0,13
Hazard,2.5,1,0.2,0,1,5,-1
Hennessey,3.1,1,0.3,1,0,6,-1
Henry,0,1,0,0,0,0,11
Hepburn-Murphy,0,1,0,0,1,0,-13
Hernández,1,1,0,0,1,0,-2
Herrera,3.1,1,0.3,0,1,0,-2
Hesketh,0,1,0,1,0,0,1
Hoban,0,1,0,0,0,0,3
Holebas,1.5,1,0.1,0,0,0,3
Hooiveld,0,1,0,0,1,0,-17
Hoolahan,4.4,1,0.6,0,1,2,-17
Hooper,1,1,0,0,1,0,-17
Howson,2.9,1,0.2,0,1,6,-17
Huth,3.7,1,1,1,0,1,17
Hutton,1.1,1,0.1,0,1,2,-13
Ibarbo,1,1,0,0,0,1,3
Ideye,0,1,0,0,1,0,1
Ighalo,5.5,1,0.3,0,0,9,3
Inler,1.6,1,0,1,0,0,17
Ireland,1.2,1,0.1,1,0,0,13
Isgrove,0,1,0,1,0,0,1
Ivanovic,4,1,0.5,0,1,1,-1
James,0,1,0,1,0,0,17
Januzaj,2.5,1,0,0,1,0,-2
Jarvis,1.7,1,0.1,0,1,0,-17
Jedinak,1.2,1,0.3,1,0,0,-1
Jelavic,1.9,1,0,0,0,1,11
Jerome,2.3,1,0.3,0,1,2,-17
Johnson,3.7,1,0.1,1,0,12,13
Johnstone,0,1,0,0,1,0,-2
Jones,1.9,1,0,0,0,1,-11
Joselu,2.6,1,0.3,1,0,1,13
Juanmi,1,1,0,1,0,0,1
Jurado,2.7,1,0.1,0,0,0,3
Kaboul,2.4,1,0,0,0,0,-11
Kane,5.1,1,0.4,0,0,0,14
Kanté,2.9,1,0.4,1,0,7,17
Kean,0,1,0,0,1,0,-17
Kelly,2.7,1,0.1,1,0,6,-1
Kenedy,2,1,0.4,0,1,0,-1
Kermorgant,1,1,0,0,0,0,-3
Ki Sung-yueng,2,1,0.1,0,0,2,-14
King,1.9,1,0.7,1,0,1,17
Kinsella,0,1,0,0,1,0,-13
Knockaert,0,1,0,1,0,0,17
Knoyle,0,1,0,0,0,0,11
Konchesky,0,1,0,1,0,0,17
Koscielny,4.3,1,0.2,1,0,0,2
Kouyaté,3.4,1,0.2,0,0,2,11
Kozák,1.8,1,0,0,1,0,-13
Kramaric,1,1,0,1,0,0,17
Lafferty,1,1,0,0,1,1,-17
Lambert,1.7,1,0,0,1,0,1
Lamela,3.1,1,0.4,0,0,1,14
Lanzini,3.9,1,0.2,0,0,5,11
Larsson,1.2,1,0,0,0,1,-11
Lawrence,0,1,0,1,0,0,17
Layún,3,1,0,0,0,0,3
Ledley,1.6,1,0.1,1,0,1,-1
Lee,0,1,0,0,0,0,11
Lee Chung-yong,1.8,1,0.1,1,0,0,-1
Lens,2.4,1,0,0,0,3,-11
Lescott,3.2,1,0.7,0,1,1,-13
Lindegaard,0,1,0,0,1,0,1
Lingard,3.7,1,0.8,0,1,0,-2
Lloris,3.8,1,0.6,0,0,1,14
Loftus-Cheek,1,1,0,0,1,0,-1
Long,3.5,1,0.6,1,0,0,1
Lucas,0,1,0,0,0,0,-14
MacDonald,1,1,0,0,0,0,-3
Maddison,0,1,0,1,0,0,17
Mahrez,7.1,1,0.7,1,0,0,17
Maiga,2.3,1,0,0,0,0,11
Mané,3.5,1,0.1,1,0,11,1
Mannone,2.1,1,0.4,0,0,0,-11
Mariappa,2,1,0,1,0,0,-1
Martial,4.4,1,0.4,0,1,2,-2
Martin,2.2,1,0.2,0,1,1,-17
Martina,2.7,1,0,1,0,0,1
Mason,2.1,1,0.2,0,0,0,14
Mata,3.9,1,0.5,0,1,2,-2
Matic,2,1,0.3,0,1,1,-1
Matthews,1,1,0,0,0,0,-11
Mayuka,0,1,0,1,0,0,1
Mbokani,2.6,1,0.2,0,1,6,-17
McArthur,2.8,1,0,1,0,3,-1
McAuley,3.1,1,0.1,0,1,1,1
McCarthy,3,1,0,1,0,0,-1
McClean,2.3,1,0.2,0,1,1,1
McGugan,0,1,0,0,0,0,3
McManaman,1.6,1,0,0,1,1,1
McNair,1.1,1,0,0,1,0,-2
Mertesacker,2.7,1,0.2,1,0,6,2
Mikel,1.8,1,0.2,0,1,0,-1
Mings,1,1,0,0,0,0,-3
Moha,0,1,0,1,0,0,13
Monreal,3.8,1,0.3,1,0,6,2
Montero,2.1,1,0,0,0,5,-14
Moore,0,1,0,1,0,0,17
Morgan,2.9,1,0.4,1,0,2,17
Morrison,3.3,1,0,0,1,2,1
Moses,2.5,1,0.3,0,0,4,11
Mulumbu,1.6,1,0,0,1,0,-17
Muniesa,1.9,1,0.4,1,0,0,13
Murray,0,1,0,0,0,0,3
Mutch,1.3,1,0.4,1,0,0,-1
M'Vila,3,1,0.3,0,0,10,-11
Myhill,3.7,1,0,0,1,3,1
Nathan,0,1,0,0,1,0,-1
Naughton,2.5,1,0.2,0,0,0,-14
N'Jie,1.6,1,0,0,0,1,14
Noble,3.1,1,0.6,0,0,1,11
Nolan,1,1,0,0,0,0,11
Nordfeldt,0,1,0,0,0,0,-14
Nugent,0,1,0,1,0,0,17
Nyom,3,1,0.3,0,0,2,3
N'Zogbia,1,1,0,0,1,0,-13
N'Zonzi,0,1,0,1,0,0,13
Obiang,1.6,1,0.2,0,0,0,11
O'Brien,0,1,0,0,0,0,11
Odemwingie,1,1,0,1,0,0,13
Odjidja-Ofoe,2,1,0,0,1,0,-17
