"Player","2006/07","2007/08","2008/09","2009/10","2010/11","2011/12","2012/13","2013/14","2014/15"
"Henderson","N/A","N/A","1","82","133","95","95","124","162"
"Lallana","N/A","N/A","N/A","N/A","N/A","N/A","93","178","93"
"Ekstrand"
"Gradel"
"Muniesa","N/A","N/A","N/A","N/A","N/A","N/A","N/A","29","59"
"Rudd","N/A","N/A","N/A","N/A","N/A","8","0","0","N/A"
"McGugan"
"Wickham","N/A","N/A","N/A","N/A","N/A","24","15","58","85"
"Coleman","N/A","N/A","N/A","7","116","30","74","180","130"
"Knoyle"
"Nugent","N/A","23","44","92","70","N/A","N/A","N/A","N/A"
"O'Shea","76","48","116","56","71","85","115","101","107"
"Barry","147","178","162","112","90","83","87","94","66"
"Osman","104","103","126","68","91","113","122","106","58"
"Cabaye","N/A","N/A","N/A","N/A","N/A","129","94","96","N/A"
"Son"
"Behrami","N/A","N/A","55","65","21","N/A","N/A","N/A","N/A"
"Kean","N/A","N/A","N/A","N/A","N/A","2","N/A","N/A","N/A"
"Ki Sung-yueng","N/A","N/A","N/A","N/A","N/A","N/A","62","84","129"
"Belkalem"
"Demichelis","N/A","N/A","N/A","N/A","N/A","N/A","N/A","118","84"
"Ivanovic","N/A","0","55","103","144","80","143","159","179"
"Abdi"
"Dyer"
"Bardsley","46","34","57","38","123","97","26","71","66"
"Kouyaté","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","98"
"Taylor","N/A","N/A","N/A","N/A","N/A","112","17","23","109"
"Joselu"
"Hooper","N/A","N/A","N/A","N/A","N/A","N/A","N/A","96","N/A"
"Mata","N/A","N/A","N/A","N/A","N/A","162","212","124","138"
"Martina"
"José Enrique","N/A","54","62","105","116","134","35","9","N/A"
"Kirchhoff"
"Sterry","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0"
"Andreu"
"Puncheon","N/A","N/A","N/A","N/A","32","2","110","131","128"
"Brown","61","142","29","61","6","60","0","75","63"
"Lafferty"
"Barker"
"Rodwell","N/A","2","32","60","41","34","27","7","55"
"Grimes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3"
"Bojan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","59"
"Ibe","N/A","N/A","N/A","N/A","N/A","N/A","6","1","21"
"Pellè","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","149"
"Jelavic","N/A","N/A","N/A","N/A","N/A","69","99","76","84"
"Marveaux","N/A","N/A","N/A","N/A","N/A","10","62","13","0"
"Powell","N/A","N/A","N/A","N/A","N/A","N/A","7","0","3"
"Spiegel","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A"
"Delph","N/A","N/A","N/A","8","9","22","33","97","69"
"Bond"
"Berahino","N/A","N/A","N/A","N/A","N/A","N/A","N/A","79","148"
"Adelaide"
"Drinkwater","N/A","N/A","0","39","N/A","N/A","N/A","N/A","N/A"
"Baines","95","56","128","138","178","134","177","169","139"
"Gayle","N/A","N/A","N/A","N/A","N/A","N/A","N/A","69","67"
"Pedro"
"Watson","N/A","N/A","32","17","85","58","32","N/A","N/A"
"Solanke","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0"
"Lee","N/A","N/A","N/A","N/A","N/A","N/A","0","1","1"
"Vorm","N/A","N/A","N/A","N/A","N/A","158","92","81","14"
"Crespo"
"Pocognoli","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","41"
"Davies","N/A","N/A","N/A","N/A","N/A","N/A","99","99","31"
"Mikel","42","58","98","54","67","38","45","48","28"
"Dodoo"
"Oriol Romeu","N/A","N/A","N/A","N/A","N/A","27","8","N/A","N/A"
"Myhill","N/A","N/A","73","94","12","0","25","43","56"
"Cahill","51","50","124","88","105","84","94","147","130"
"Odjidja-Ofoe"
"Giroud","N/A","N/A","N/A","N/A","N/A","N/A","121","187","120"
"Ayew"
"Ogbonna"
"Zárate","N/A","39","27","N/A","N/A","N/A","N/A","N/A","N/A"
"Vardy","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","120"
"Layún"
"Anya"
"Anita","N/A","N/A","N/A","N/A","N/A","N/A","49","76","33"
"Juanmi"
"Bartley","N/A","N/A","N/A","N/A","N/A","N/A","1","3","13"
"Amavi"
"Reid","N/A","N/A","N/A","N/A","5","103","71","61","N/A"
"Besic","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","29"
"Fàbregas","182","205","108","214","128","0","165","N/A","N/A"
"Sterling","N/A","N/A","N/A","N/A","N/A","3","82","132","158"
"Surman","N/A","N/A","N/A","10","76","7","0","N/A","N/A"
"Gooch"
"Ibarbo"
"Fletcher","64","28","83","116","87","25","12","27","55"
"Mitrovic"
"Maiga","N/A","N/A","N/A","N/A","N/A","N/A","30","36","0"
"Robles","N/A","N/A","N/A","N/A","N/A","N/A","22","5","26"
"Jones","N/A","N/A","N/A","N/A","N/A","48","61","49","44"
"Azpilicueta","N/A","N/A","N/A","N/A","N/A","N/A","100","109","132"
"Navas","N/A","N/A","N/A","N/A","N/A","N/A","N/A","104","101"
"Gardner","N/A","N/A","N/A","N/A","N/A","19","2","0","0"
"Ings","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","139"
"Veretout"
"Tiendalli","N/A","N/A","N/A","N/A","N/A","N/A","37","26","2"
"Dorrans","N/A","N/A","16","46","75","61","38","57","N/A"
"Adrián","N/A","N/A","N/A","N/A","N/A","N/A","N/A","83","142"
"Kinsella","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0"
"Pozo","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4"
"Cameron","N/A","N/A","N/A","N/A","N/A","N/A","92","108","66"
"Morgan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","112"
"Bamford"
"Johnstone","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A"
"Sheyi Ojo","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0"
"Prödl"
"Kane","N/A","N/A","N/A","N/A","N/A","0","5","28","191"
"Iwobi"
"Bannan","N/A","N/A","N/A","N/A","21","59","61","42","7"
"Young","134","177","153","152","160","123","58","50","89"
"Ireland","52","106","160","63","17","59","26","59","33"
"Oularé"
"Hamer","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","31"
"Morrison","70","0","86","89","101","133","83","95","N/A"
"Mangala","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","95"
"Wright","1","0","0","0","0","N/A","N/A","N/A","N/A"
"N'Jie"
"Cabella","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","71"
"Bennett","N/A","N/A","1","28","14","0","N/A","N/A","N/A"
"Cattermole","57","37","86","47","44","42","16","45","58"
"Kolarov","N/A","N/A","N/A","N/A","60","73","55","116","92"
"O'Kane"
"Kingsley","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0"
"Parfitt-Williams"
"Rossiter","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0"
"Carrick","106","93","125","78","61","97","101","68","57"
"Ighalo"
"Rodríguez"
"Winks","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0"
"Lingard","N/A","N/A","N/A","N/A","N/A","0","0","0","1"
"Ayoze","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","98"
"Hangeland","N/A","48","147","115","154","103","75","46","42"
"Mannone","0","0","2","19","0","31","134","31","N/A"
"Hepburn-Murphy","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Targett","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","7"
"Cédric"
"Sako"
"Shelvey","N/A","N/A","N/A","N/A","18","28","22","122","99"
"Zabaleta","N/A","N/A","75","64","102","85","124","146","106"
"Gilmartin"
"Giaccherini","N/A","N/A","N/A","N/A","N/A","N/A","N/A","74","9"
"Pennington"
"Cargill"
"Daniels"
"Randolph","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Dymond"
"Yaya Touré","N/A","N/A","N/A","N/A","146","139","142","241","134"
"Holebas"
"McGeady","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23","44"
"James","N/A","N/A","0","49","N/A","N/A","N/A","N/A","N/A"
"Gouffran","N/A","N/A","N/A","N/A","N/A","N/A","50","114","67"
"Larsson","0","118","94","116","128","112","79","105","N/A"
"Jurado"
