"Player","2006/07","2007/08","2008/09","2009/10","2010/11","2011/12","2012/13","2013/14","2014/15"
"Can","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","66"
"Reed","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4","17"
"Onomah","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0"
"de Gea","N/A","N/A","N/A","N/A","N/A","134","114","128","138"
"Mbemba"
"Richards","94","74","82","66","67","99","31","4","0"
"Dann","N/A","N/A","N/A","88","67","50","47","105","N/A"
"Traore"
"Jarvis","N/A","N/A","N/A","108","133","142","92","86","14"
"Akpom","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","6"
"Hammond","N/A","N/A","N/A","N/A","N/A","N/A","0","20","N/A"
"Gamboa","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12"
"Tremmel","N/A","N/A","N/A","N/A","N/A","1","51","29","2"
"Smalling","N/A","N/A","1","16","51","60","47","79","91"
"Roberts","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0"
"Kaboul","N/A","61","53","79","46","108","1","23","28"
"Maddison"
"Unavailable"
"Denayer"
"Davis","53","43","75","110","79","N/A","N/A","N/A","N/A"
"Weir"
"Seager","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Zaha","N/A","N/A","N/A","N/A","N/A","N/A","N/A","21","91"
"Walcott","36","65","54","65","133","169","194","72","51"
"Arteta","178","105","129","78","101","128","131","76","19"
"Howson","N/A","N/A","N/A","N/A","N/A","30","70","65","N/A"
"Distin","145","133","91","92","124","71","109","117","20"
"Chamberlain","N/A","N/A","N/A","N/A","N/A","40","63","41","57"
"Capoue","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25","23"
"Hoolahan","N/A","N/A","N/A","N/A","N/A","104","103","36","N/A"
"Good","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A"
"Holgate"
"Agüero","N/A","N/A","N/A","N/A","N/A","211","121","156","216"
"Dawson","N/A","N/A","N/A","N/A","N/A","14","2","28","99"
"O'Brien","0","35","16","0","0","123","39","15","N/A"
"Funes Mori"
"Jagielka","121","128","131","45","104","107","126","104","142"
"Monreal","N/A","N/A","N/A","N/A","N/A","N/A","50","63","92"
"Hesketh","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Pudil"
"Cissé","N/A","N/A","N/A","N/A","N/A","105","113","55","97"
"van Persie","108","68","145","105","157","269","262","112","105"
"Eder"
"Obertan","N/A","N/A","N/A","9","12","64","25","3","31"
"Loftus-Cheek","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4"
"Redmond","N/A","N/A","N/A","0","0","80","N/A","N/A","N/A"
"Richardson","30","53","95","60","80","80","28","93","40"
"Wilshere","N/A","N/A","1","36","93","0","60","76","36"
"Fabianski","N/A","15","20","15","55","0","13","7","151"
"Lyden"
"Rosicky","83","84","0","69","30","66","34","66","36"
"Angella"
"Pieters","N/A","N/A","N/A","N/A","N/A","N/A","N/A","101","84"
"Moore","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13"
"Begovic","N/A","0","8","41","108","87","144","136","106"
"Krul","0","0","51","156","75","123","99","N/A","N/A"
"Maffeo"
"Cresswell","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","129"
"Gnabry","N/A","N/A","N/A","N/A","N/A","N/A","1","29","0"
"Agbonlahor","144","158","146","146","55","112","117","97","93"
"Zelalem","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0"
"Jerome","N/A","91","123","98","51","55","60","0","N/A"
"Mbokani"
